beta,E,C,m,m2,m_sus
100.0,-0.45638667611714695,2.220446049250313e-12,9.106143160013712e-33,4.99438041718813e-24,4.99438041718813e-22
50.0,-0.45638667611627093,1.1446399383885364e-09,3.6277381127975864e-28,1.1174055223412792e-12,5.587027611706396e-11
33.333333333333336,-0.45638667079880274,3.0886246646686136e-06,2.6463318043194457e-24,6.7835002179678486e-09,2.2611667393226163e-07
25.0,-0.4563862617350055,0.000135367494991101,2.382268083449696e-22,5.285337235722771e-07,1.3213343089306928e-05
20.0,-0.45638102172509465,0.001182181508951885,3.168233399024201e-21,7.211275235190975e-06,0.0001442255047038195
16.666666666666664,-0.4563543881570344,0.004687715813609135,1.6556469872460127e-20,4.1161835294776206e-05,0.00068603058824627
14.285714285714286,-0.4562746152383575,0.011950811466781326,6.529570282315577e-20,0.00014271735909416025,0.0020388194156308608
12.5,-0.4561018089856979,0.023249873437915236,7.757120697327023e-20,0.00036209191072385775,0.004526148884048222
11.11111111111111,-0.4557983312688129,0.0379198334994664,3.989136143669309e-19,0.0007454029795330031,0.008282255328144479
10.0,-0.45533593464257077,0.054833297069789566,4.922524836885697e-19,0.0013247286953884418,0.013247286953884418
9.090909090909092,-0.45469803821369104,0.0728433705480139,1.273875300462665e-18,0.0021145416723727106,0.01922310611247919
8.333333333333334,-0.45387849432792954,0.09103613847842432,1.2077020153443807e-18,0.0031130434966304427,0.025942029138587026
7.692307692307692,-0.4528787443563185,0.10880988740442997,8.404619449072916e-19,0.004306045716412484,0.033123428587788335
7.142857142857142,-0.45170477390138636,0.12584748005348428,1.853122400921763e-18,0.005671508557796149,0.04051077541282963
6.666666666666666,-0.4503646173591195,0.1420425806022566,2.9840137351053696e-18,0.007183613417508486,0.047890756116723235
6.25,-0.4488666568015826,0.15741936556310476,3.566327856227891e-18,0.008815885273717915,0.05509928296073697
5.88235294117647,-0.4472186666532348,0.17206564578795766,3.2899727234641756e-18,0.01054329335267435,0.06201937266279029
5.5555555555555545,-0.4454274293807006,0.1860858325226287,1.4063216546247492e-18,0.01234346975024217,0.06857483194578982
5.2631578947368425,-0.44349872466550244,0.19957274593592983,4.6547210509946076e-18,0.014197260069264058,0.07472242141717926
5.0,-0.44143752291357297,0.21259415129147308,4.770513778566783e-18,0.01608881753861484,0.08044408769307419
4.761904761904762,-0.43924825948729285,0.22518932608706405,8.07513579977739e-18,0.018005415464666254,0.08574007364126787
4.545454545454546,-0.4369351104789193,0.23737158790902638,4.0421169469437505e-18,0.01993710774744134,0.09062321703382428
4.3478260869565215,-0.434502226528039,0.2491337387199938,4.879966071015079e-18,0.021876326117812574,0.09511446138179379
4.166666666666666,-0.43195390647206616,0.2604543899770393,5.341911543261327e-18,0.0238174702609328,0.09923945942055332
4.0,-0.4292947086840013,0.27130395407249,-2.3277424505794748e-18,0.02575652345080032,0.10302609380320128
3.846153846153846,-0.42652950693155833,0.28164968409975955,1.1189107253765475e-18,0.027690710344250604,0.10650273209327155
3.7037037037037033,-0.4236635016433968,0.29145953958283843,2.6862456310501763e-18,0.029618203339678642,0.10969704940621718
3.571428571428571,-0.42070219838653317,0.3007048946030359,4.652582731847191e-18,0.03153787771776963,0.11263527756346295
3.4482758620689653,-0.4176513644846739,0.3093622314910558,3.606385718931733e-18,0.033449112319448575,0.11534176661878819
3.3333333333333335,-0.4145169729650226,0.31741401562514054,7.296101805602264e-18,0.03535163081114104,0.11783876937047014
3.2258064516129035,-0.4113051410037161,0.32484895359968025,9.094967567860935e-18,0.03724537796938371,0.12014638054639906
3.125,-0.4080220680955989,0.3316618184961962,1.2322541370612857e-17,0.03913042543997218,0.12228257949991306
3.0303030303030303,-0.40467397748199463,0.3378529958416044,1.2019315242596736e-17,0.04100690180311138,0.12426333879730722
2.941176470588235,-0.40126706300032156,0.3434278706237314,1.3007073224417183e-17,0.042874942324248315,0.1261027715419068
2.8571428571428568,-0.39780744247534566,0.3483961443761645,1.2482339502013823e-17,0.04473465437969357,0.12781329822769588
2.7777777777777772,-0.39430111802111906,0.35277114430335615,9.466285413063122e-18,0.04658609515168762,0.12940581986579894
2.7027027027027026,-0.39075394311653555,0.35656916457880417,1.6150423135071084e-17,0.04842925875320678,0.13088988852218048
2.6315789473684212,-0.3871715960036866,0.3598088632546249,1.5946010801189768e-17,0.05026407045076225,0.13227386960726908
2.564102564102564,-0.38355955878789816,0.3625107261077811,1.1751293719559737e-17,0.05209038609715299,0.13356509255680252
2.5,-0.37992310154944287,0.36469660043843694,1.0394566262140525e-17,0.053907995265729085,0.1347699881643227
2.4390243902439024,-0.3762672707755462,0.3663892965126786,1.322352616825506e-17,0.055716626897096944,0.1358942119441389
2.380952380952381,-0.3725968814614189,0.3676122512505268,1.960562491524928e-17,0.05751595653419257,0.13694275365283945
2.3255813953488373,-0.36891651229162126,0.3683892472584023,1.550873491204679e-17,0.05930561443884391,0.13792003357870677
2.272727272727273,-0.36523050338496427,0.36874417987254654,1.427630050973724e-17,0.061085194058990586,0.1388299864977059
2.2222222222222223,-0.36154295615868753,0.36870086512132316,1.6197722002820406e-17,0.06285426045691703,0.13967613434870452
2.1739130434782608,-0.3578577349356983,0.3682828821372351,2.1767984101040693e-17,0.06461235842089451,0.140461648741075
2.127659574468085,-0.35417846997940233,0.3675134443517669,2.927195142655331e-17,0.0663590200705832,0.14118940440549616
2.083333333333333,-0.3505085616931065,0.3664152946530176,9.821022500263397e-18,0.06809377183476936,0.1418620246557695
2.0408163265306123,-0.34685118576505936,0.3650106204952288,1.3380004959884745e-17,0.06981614073224397,0.1424819198617224
