beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,0.527232,1.055222,0.004345,-0.227232,0.004345,0.124999,0.002793,-0.000291,0.000926,0.174721,0.000784,0.174721,0.000784,0.000521,0.001270,0.446414,0.001165,0.446414,0.001165,0.087360,0.000392,0.666667,0.000000,0.666667,0.000000
1.000000,1.524879,4.669471,0.011474,-0.462440,0.005737,0.409602,0.006345,0.000384,0.000690,0.095769,0.000746,0.095769,0.000746,0.000121,0.000900,0.583868,0.001022,0.583868,0.001022,0.095769,0.000746,0.666667,0.000000,0.666667,0.000000
2.000000,3.991119,20.710901,0.014578,-0.697780,0.003644,0.395269,0.018575,0.000035,0.000260,0.017451,0.000377,0.017451,0.000377,-0.000011,0.000613,0.630313,0.000598,0.630313,0.000598,0.034901,0.000754,0.666667,0.000000,0.666667,0.000000
4.000000,8.391143,78.866001,0.013443,-0.748893,0.001680,0.031698,0.023761,-0.000015,0.000028,0.000392,0.000085,0.000392,0.000085,0.000112,0.000306,0.568879,0.000136,0.568879,0.000136,0.001566,0.000341,0.666667,0.000000,0.666667,0.000000
8.000000,16.798143,298.960865,0.027547,-0.749884,0.001722,-0.007823,0.034712,-0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,-0.000000,0.000092,0.531797,0.000058,0.531797,0.000058,0.000004,0.000012,nan,nan,0.666667,0.000000
16.000000,33.599374,1162.522862,0.030439,-0.749980,0.000951,0.002314,0.069297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.000042,0.515353,0.000014,0.515353,0.000014,0.000000,0.000000,nan,nan,0.666667,0.000000
