beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,0.806201,1.680031,0.004935,-0.103100,0.002468,0.055961,0.001565,-0.000230,0.000663,0.188503,0.000819,0.393226,0.003565,0.000218,0.000720,0.473739,0.002234,1.394633,0.008964,0.094251,0.000410,0.304665,0.003392,0.018712,0.001773
1.000000,2.063031,7.200279,0.009122,-0.215758,0.002281,0.220267,0.003415,-0.000043,0.000516,0.134665,0.000566,0.225017,0.002398,0.000435,0.000797,0.604498,0.001619,1.956923,0.006776,0.134665,0.000566,0.443035,0.004114,-0.079088,0.001227
2.000000,5.495924,37.558358,0.017320,-0.386991,0.002165,0.464238,0.010480,-0.000202,0.000267,0.059702,0.000599,0.069341,0.000865,-0.000141,0.000275,0.701620,0.000971,2.581210,0.005723,0.119403,0.001198,0.612855,0.001980,-0.226308,0.001179
4.000000,12.566870,171.446734,0.015972,-0.485429,0.000998,0.238347,0.020878,0.000054,0.000105,0.009185,0.000238,0.009203,0.000233,0.000017,0.000101,0.714089,0.000754,2.825065,0.003475,0.036741,0.000953,0.666007,0.000889,-0.318728,0.000395
8.000000,25.594983,680.768775,0.012263,-0.499843,0.000383,0.017622,0.021134,-0.000002,0.000018,0.000164,0.000027,0.000164,0.000027,-0.000021,0.000049,0.693610,0.000337,2.773920,0.001372,0.001310,0.000216,0.666667,0.000000,-0.333083,0.000041
16.000000,51.205055,2673.180303,0.035402,-0.500079,0.000553,0.004084,0.044613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000026,0.680030,0.000166,2.720122,0.000664,0.000000,0.000000,nan,nan,-0.333333,0.000000
