beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,2.119440,7.043860,0.014099,-0.104860,0.003525,0.054024,0.003819,0.023556,0.000846,0.193126,0.000785,0.850456,0.014322,0.000294,0.000743,0.473125,0.005013,3.170080,0.064040,0.096285,0.000393,-0.467880,0.024144,-1.233263,0.027014
1.000000,5.101690,32.649250,0.018581,-0.212711,0.002323,0.189997,0.014769,0.034365,0.001116,0.145098,0.001844,0.505923,0.010561,-0.000083,0.000573,0.525486,0.004799,4.289723,0.072725,0.143915,0.001845,-0.162184,0.014024,-1.720964,0.026658
2.000000,12.359750,168.190750,0.040753,-0.347484,0.002547,0.383240,0.031460,0.036383,0.001161,0.083165,0.000843,0.178160,0.004469,-0.000131,0.000319,0.647615,0.003880,6.793081,0.054833,0.163680,0.001633,0.285968,0.014085,-2.496424,0.010704
4.000000,27.370840,778.550500,0.065578,-0.430339,0.002049,0.251560,0.056883,0.027649,0.000862,0.036741,0.000605,0.042726,0.001998,-0.000055,0.000117,0.785463,0.003299,9.496123,0.054450,0.143904,0.002260,0.612516,0.013041,-3.029921,0.006449
8.000000,56.127100,3207.217140,0.128534,-0.451986,0.002008,0.102771,0.085561,0.012020,0.000572,0.012502,0.000570,0.012518,0.000568,-0.000024,0.000084,0.836775,0.003328,10.544947,0.061867,0.098862,0.004454,0.666263,0.001212,-3.200601,0.008230
16.000000,112.712670,12817.226710,0.159875,-0.455568,0.001249,0.042813,0.185965,0.001540,0.000166,0.001540,0.000166,0.001540,0.000166,0.000004,0.000040,0.863145,0.001524,11.068728,0.024880,0.024602,0.002654,0.666667,0.000000,-3.274569,0.002336
