beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.965940,6.124000,0.017947,-0.182970,0.008973,0.073204,0.006724,0.093950,0.002499,0.220430,0.002354,0.509600,0.009927,0.000255,0.001781,0.456220,0.004919,1.274167,0.019060,0.105799,0.001010,0.229453,0.007310,0.069080,0.004468
1.000000,4.422520,24.743700,0.023475,-0.305630,0.005869,0.190486,0.017697,0.135965,0.001259,0.211070,0.001902,0.476120,0.007116,-0.000205,0.001357,0.466518,0.003475,1.388156,0.015039,0.192582,0.001664,0.248119,0.005397,0.008165,0.003992
2.000000,9.825020,107.519840,0.033280,-0.428128,0.004160,0.290674,0.046487,0.145867,0.001720,0.176197,0.002224,0.331028,0.008966,-0.000247,0.000398,0.476603,0.003861,1.488730,0.020532,0.309834,0.003599,0.373830,0.011467,-0.041162,0.006311
4.000000,20.665690,448.243330,0.043520,-0.491606,0.002720,0.126251,0.090990,0.128903,0.002009,0.133292,0.002266,0.159363,0.004994,0.000019,0.000327,0.478367,0.003212,1.520576,0.017998,0.466690,0.007077,0.601538,0.007545,-0.059524,0.005639
8.000000,41.574890,1770.041430,0.060734,-0.499215,0.001898,-0.002157,0.127104,0.124698,0.001491,0.124793,0.001467,0.125362,0.001357,0.000114,0.000108,0.469843,0.002182,1.496355,0.012797,0.873926,0.008752,0.665140,0.000844,-0.061581,0.004406
16.000000,83.162900,6999.310240,0.125723,-0.499420,0.001964,0.015899,0.349954,0.124205,0.003008,0.124205,0.003008,0.124205,0.003008,-0.000039,0.000092,0.465502,0.005463,1.484856,0.030866,1.740305,0.036206,0.666667,0.000000,-0.063154,0.009659
