beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.204509,2.973633,0.005120,-0.101503,0.001707,0.053043,0.001252,-0.000059,0.000451,0.189417,0.000641,0.612243,0.003936,0.000250,0.000469,0.483021,0.001827,2.357268,0.014460,0.094709,0.000321,-0.077406,0.004073,-0.626739,0.004548
1.000000,3.026637,13.328747,0.007144,-0.204440,0.001191,0.190255,0.004127,0.000250,0.000335,0.136880,0.000224,0.339782,0.001658,0.000031,0.000250,0.578834,0.001214,3.286267,0.012789,0.136880,0.000224,0.172553,0.004083,-0.892459,0.004099
2.000000,7.811687,71.180201,0.012554,-0.350974,0.001046,0.390984,0.008694,-0.000038,0.000223,0.069261,0.000419,0.101059,0.001137,0.000041,0.000083,0.692498,0.001260,4.883707,0.012509,0.138522,0.000838,0.513645,0.002990,-1.350766,0.002293
4.000000,17.840171,337.764279,0.020822,-0.443340,0.000868,0.275329,0.014966,0.000177,0.000174,0.019587,0.000174,0.020039,0.000208,0.000011,0.000055,0.789523,0.001458,6.227624,0.014947,0.078346,0.000697,0.658976,0.001546,-1.629274,0.001501
8.000000,36.744958,1387.388896,0.038721,-0.465520,0.000807,0.075083,0.029248,0.000000,0.000036,0.001368,0.000048,0.001368,0.000048,-0.000007,0.000043,0.797433,0.000450,6.427276,0.004553,0.010944,0.000383,0.666667,0.000000,-1.686650,0.000400
16.000000,73.657353,5499.004447,0.035066,-0.467264,0.000365,-0.009964,0.048556,-0.000000,0.000003,0.000006,0.000003,0.000006,0.000003,0.000004,0.000019,0.787955,0.000575,6.358873,0.005750,0.000104,0.000048,0.666667,0.000000,-1.690033,0.000471
