beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.067770,2.427910,0.017720,-0.108885,0.008860,0.054923,0.006884,0.024247,0.001964,0.191103,0.003119,0.401732,0.009741,0.000351,0.002553,0.484003,0.003605,1.409290,0.017875,0.095255,0.001532,0.299351,0.007047,0.029448,0.006726
1.000000,2.605400,10.259260,0.029415,-0.226350,0.007354,0.216221,0.012863,0.033978,0.001293,0.138308,0.001726,0.236857,0.006073,-0.000060,0.001901,0.589222,0.004901,1.895011,0.020926,0.137151,0.001721,0.429238,0.008119,-0.072019,0.003477
2.000000,6.504330,50.608710,0.042360,-0.388041,0.005295,0.449069,0.023518,0.030642,0.000900,0.066973,0.001155,0.083202,0.002204,-0.000150,0.000729,0.669115,0.003574,2.444377,0.017012,0.132065,0.002258,0.585931,0.005644,-0.217706,0.002378
4.000000,14.534490,226.651990,0.050326,-0.483406,0.003145,0.215892,0.060944,0.010292,0.000347,0.013833,0.000515,0.013953,0.000640,0.000272,0.000290,0.696360,0.002069,2.739990,0.009466,0.054906,0.002039,0.663877,0.003418,-0.311576,0.000810
8.000000,29.611510,906.755570,0.082806,-0.500360,0.002588,0.073920,0.084562,0.000582,0.000082,0.000588,0.000082,0.000588,0.000082,-0.000094,0.000205,0.688226,0.001480,2.751063,0.005964,0.004697,0.000652,0.666667,0.000000,-0.332441,0.000124
16.000000,59.236240,3567.931020,0.076811,-0.500566,0.001200,-0.060812,0.196350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000095,0.678191,0.000757,2.712766,0.003029,0.000000,0.000000,nan,nan,-0.333333,0.000000
