beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,0.786660,1.657220,0.014323,-0.236660,0.014323,0.125760,0.009871,0.043715,0.001690,0.179115,0.003592,0.179115,0.003592,0.001130,0.003883,0.461584,0.005778,0.461584,0.005778,0.088601,0.001784,0.666667,0.000000,0.666667,0.000000
1.000000,2.037290,6.935430,0.018979,-0.468645,0.009490,0.373615,0.023466,0.049220,0.001678,0.106670,0.002109,0.106670,0.002109,0.000081,0.002332,0.566640,0.003308,0.566640,0.003308,0.104245,0.002000,0.666667,0.000000,0.666667,0.000000
2.000000,4.970710,30.501990,0.033203,-0.692677,0.008301,0.411110,0.044742,0.020190,0.000952,0.026400,0.001348,0.026400,0.001348,0.000282,0.001933,0.591584,0.001774,0.591584,0.001774,0.051983,0.002652,0.666667,0.000000,0.666667,0.000000
4.000000,10.349410,117.573850,0.034415,-0.743676,0.004302,0.056484,0.060447,0.001135,0.000219,0.001175,0.000216,0.001175,0.000216,0.000171,0.000633,0.553014,0.000313,0.553014,0.000313,0.004695,0.000862,0.666667,0.000000,0.666667,0.000000
8.000000,20.796600,453.340100,0.061543,-0.749787,0.003846,0.020570,0.196486,0.000005,0.000015,0.000005,0.000015,0.000005,0.000015,0.000132,0.000436,0.525324,0.000102,0.525324,0.000102,0.000040,0.000120,nan,nan,0.666667,0.000000
16.000000,41.616830,1773.913810,0.060612,-0.750526,0.001894,0.166383,0.314194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000045,0.000130,0.512320,0.000021,0.512320,0.000021,0.000000,0.000000,nan,nan,0.666667,0.000000
