beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,5.154930,32.470430,0.028104,-0.418310,0.009368,0.123568,0.014175,0.183132,0.001804,0.372578,0.004062,1.827698,0.031915,0.000117,0.000799,0.338678,0.004036,1.424838,0.031019,0.169519,0.001731,-0.635075,0.012365,-0.402227,0.017319
1.000000,11.305850,140.438830,0.036768,-0.584308,0.006128,0.218231,0.023222,0.268443,0.002320,0.557857,0.005979,3.173617,0.046461,-0.000014,0.000199,0.264587,0.003219,0.997435,0.025585,0.485789,0.004778,-0.896243,0.009108,-0.256393,0.017664
2.000000,23.901120,596.120140,0.054943,-0.691760,0.004579,0.158744,0.069622,0.339537,0.001174,0.781047,0.004902,5.069767,0.054504,-0.000040,0.000061,0.179039,0.001785,0.495686,0.009379,1.331520,0.008258,-1.163606,0.010306,0.077203,0.010180
4.000000,48.790780,2429.902180,0.048449,-0.732949,0.002019,0.094807,0.175787,0.383815,0.001230,0.950988,0.005684,6.742568,0.069841,0.000009,0.000026,0.120575,0.001317,0.225071,0.004232,3.214691,0.018991,-1.363294,0.010634,0.377814,0.007322
8.000000,98.282800,9758.206040,0.024304,-0.747558,0.000506,0.068979,0.274415,0.409607,0.000814,1.055800,0.003459,7.818600,0.038398,-0.000006,0.000010,0.091729,0.000793,0.116487,0.002888,7.104174,0.022382,-1.468447,0.004304,0.576748,0.007359
16.000000,196.776430,38916.914610,0.085458,-0.749754,0.000890,-0.138754,0.565323,0.416738,0.000661,1.084042,0.003265,8.096742,0.041966,0.000000,0.000004,0.083711,0.000662,0.084840,0.000847,14.565926,0.043419,-1.489661,0.005408,0.662175,0.001311
