beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.347340,3.399820,0.011957,-0.123670,0.005978,0.059253,0.005778,0.047482,0.002680,0.195788,0.002448,0.418898,0.008139,0.001249,0.002407,0.483456,0.003285,1.393400,0.011602,0.096763,0.001147,0.286858,0.007373,0.039278,0.004535
1.000000,3.151270,13.880170,0.016555,-0.237817,0.004139,0.199531,0.007992,0.067967,0.001201,0.153518,0.001411,0.285307,0.004964,-0.000149,0.001342,0.556706,0.004926,1.761994,0.020715,0.148896,0.001383,0.380542,0.006734,-0.054988,0.003920
2.000000,7.551900,66.120520,0.040184,-0.393988,0.005023,0.383953,0.038124,0.063845,0.001321,0.087450,0.001568,0.120990,0.003681,0.000296,0.000777,0.618594,0.002644,2.202406,0.013049,0.166744,0.002901,0.538900,0.007558,-0.186773,0.002533
4.000000,16.446970,287.760130,0.065404,-0.477936,0.004088,0.201515,0.089693,0.029648,0.000831,0.030913,0.001014,0.032022,0.001220,0.000207,0.000322,0.661151,0.002605,2.546129,0.013028,0.120131,0.003865,0.654713,0.005902,-0.283679,0.001817
8.000000,33.532910,1158.237790,0.069546,-0.497903,0.002173,0.060998,0.099865,0.004450,0.000391,0.004450,0.000391,0.004450,0.000391,-0.000127,0.000174,0.679550,0.001747,2.704380,0.007700,0.035440,0.003104,0.666667,0.000000,-0.326554,0.000605
16.000000,67.182350,4580.303930,0.075566,-0.499724,0.001181,-0.088070,0.328134,0.000082,0.000049,0.000082,0.000049,0.000082,0.000049,0.000009,0.000062,0.676707,0.001273,2.706576,0.005107,0.001320,0.000781,nan,nan,-0.333209,0.000073
