beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,0.658650,1.348130,0.013154,-0.233650,0.013154,0.127744,0.011784,0.021600,0.002192,0.175750,0.003078,0.175750,0.003078,-0.000456,0.003304,0.457238,0.003894,0.457238,0.003894,0.087639,0.001543,0.666667,0.000000,0.666667,0.000000
1.000000,1.771950,5.696830,0.019695,-0.460975,0.009848,0.392343,0.030407,0.025540,0.001877,0.098640,0.002910,0.098640,0.002910,-0.000517,0.001554,0.581800,0.004519,0.581800,0.004519,0.097984,0.002946,0.666667,0.000000,0.666667,0.000000
2.000000,4.495590,25.509070,0.042171,-0.698897,0.010543,0.400686,0.057562,0.008750,0.000748,0.019810,0.001287,0.019810,0.001287,0.000729,0.001437,0.612772,0.001354,0.612772,0.001354,0.039466,0.002568,0.666667,0.000000,0.666667,0.000000
4.000000,9.396610,97.801810,0.030645,-0.749576,0.003831,0.053991,0.087874,0.000485,0.000098,0.000615,0.000074,0.000615,0.000074,-0.000032,0.000355,0.560036,0.000294,0.560036,0.000294,0.002459,0.000297,0.666667,0.000000,0.666667,0.000000
8.000000,18.790140,371.860140,0.035119,-0.749384,0.002195,-0.000297,0.193762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000284,0.528206,0.000068,0.528206,0.000068,0.000000,0.000000,nan,nan,0.666667,0.000000
16.000000,37.591270,1450.840530,0.033278,-0.749727,0.001040,0.072286,0.329703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000076,0.000164,0.513677,0.000012,0.513677,0.000012,0.000000,0.000000,nan,nan,0.666667,0.000000
