beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,2.952030,12.119490,0.026528,-0.184010,0.008843,0.075379,0.005361,0.093720,0.002351,0.237703,0.003490,0.907583,0.026554,0.000711,0.001140,0.437333,0.005111,2.040833,0.035087,0.114457,0.001618,-0.272457,0.019682,-0.555435,0.011507
1.000000,6.598620,51.165560,0.017115,-0.299770,0.002853,0.170810,0.012450,0.136320,0.001036,0.247510,0.001800,0.934310,0.014696,-0.000053,0.000496,0.432246,0.004249,2.222102,0.039634,0.228926,0.001767,-0.258216,0.012277,-0.713505,0.017131
2.000000,14.560600,228.214940,0.057186,-0.413383,0.004765,0.273333,0.026877,0.152548,0.001576,0.225778,0.003002,0.716618,0.016267,0.000177,0.000287,0.460996,0.002813,2.595148,0.022882,0.405010,0.005069,-0.057891,0.012472,-0.876467,0.009366
4.000000,30.955270,990.692370,0.066386,-0.489803,0.002766,0.250659,0.056230,0.145345,0.001212,0.170188,0.002175,0.324748,0.009725,0.000044,0.000081,0.441873,0.002987,2.412732,0.033538,0.596247,0.007530,0.364061,0.012105,-0.819994,0.013208
8.000000,63.093280,4044.326280,0.055253,-0.514443,0.001151,0.077994,0.163669,0.155073,0.000747,0.157373,0.000866,0.171173,0.002473,-0.000029,0.000045,0.386974,0.001941,1.790287,0.023721,1.066600,0.005241,0.637448,0.003944,-0.542064,0.013158
16.000000,126.669220,16172.936820,0.128144,-0.519471,0.001335,0.193314,0.281619,0.165523,0.000191,0.165533,0.000193,0.165593,0.000224,0.000004,0.000035,0.354522,0.000763,1.439620,0.005625,2.210165,0.002076,0.666546,0.000185,-0.353575,0.003275
