beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.795110,5.317910,0.016932,-0.495110,0.016932,0.150047,0.014103,0.173195,0.002991,0.226495,0.002722,0.226495,0.002722,0.001120,0.002732,0.408392,0.005008,0.408392,0.005008,0.098245,0.001364,0.666667,0.000000,0.666667,0.000000
1.000000,3.949750,19.922870,0.028707,-0.674875,0.014354,0.185885,0.035921,0.230130,0.004623,0.239030,0.003597,0.239030,0.003597,0.000231,0.001574,0.348088,0.005167,0.348088,0.005167,0.186049,0.001664,0.666667,0.000000,0.666667,0.000000
2.000000,8.146890,74.630030,0.039408,-0.736723,0.009852,0.054885,0.043750,0.248145,0.002384,0.248285,0.002376,0.248285,0.002376,0.000375,0.000678,0.288301,0.002832,0.288301,0.002832,0.373407,0.002412,0.666667,0.000000,0.666667,0.000000
4.000000,16.387110,284.861010,0.029256,-0.748389,0.003657,-0.032165,0.032326,0.250025,0.003039,0.250025,0.003039,0.250025,0.003039,-0.000017,0.000255,0.266288,0.003241,0.266288,0.003241,0.750013,0.006024,0.666667,0.000000,0.666667,0.000000
8.000000,32.802400,1108.576460,0.033839,-0.750150,0.002115,-0.112265,0.272688,0.249625,0.002400,0.249625,0.002400,0.249625,0.002400,-0.000005,0.000139,0.258253,0.002467,0.258253,0.002467,1.498453,0.009620,0.666667,0.000000,0.666667,0.000000
16.000000,65.608010,4369.869070,0.054992,-0.750250,0.001718,-0.076470,0.674449,0.251065,0.001939,0.251065,0.001939,0.251065,0.001939,-0.000019,0.000052,0.252789,0.001970,0.252789,0.001970,3.008442,0.015434,0.666667,0.000000,0.666667,0.000000
