beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,6.864790,55.029010,0.016010,-0.416197,0.004003,0.129828,0.013647,0.183980,0.001179,0.443232,0.005606,3.287382,0.093527,0.000082,0.000369,0.321336,0.003316,1.869944,0.037302,0.204691,0.002614,-1.471820,0.042192,-0.939625,0.024142
1.000000,15.056530,243.423910,0.032309,-0.582066,0.004039,0.208405,0.028189,0.267664,0.000985,0.697259,0.004279,6.194804,0.087144,-0.000093,0.000150,0.260039,0.002180,1.367967,0.024556,0.625614,0.003777,-1.961374,0.025100,-0.753430,0.019452
2.000000,31.831560,1046.452700,0.041739,-0.689473,0.002609,0.171398,0.052936,0.338975,0.000941,1.009113,0.005437,10.703357,0.110879,0.000024,0.000051,0.177026,0.001683,0.674952,0.010988,1.788415,0.009620,-2.535477,0.018440,-0.270851,0.011745
4.000000,65.005770,4290.917310,0.040984,-0.731430,0.001281,0.019966,0.153179,0.386552,0.001009,1.261120,0.005641,15.104965,0.103026,0.000006,0.000016,0.117130,0.001016,0.295214,0.006861,4.446785,0.019463,-2.992433,0.009999,0.159966,0.012701
8.000000,130.869100,17258.938620,0.056465,-0.744830,0.000882,0.168125,0.255941,0.415436,0.000770,1.430301,0.005129,18.421881,0.122126,0.000003,0.000008,0.085684,0.000762,0.154437,0.002646,10.061707,0.035956,-3.293195,0.013418,0.399212,0.007674
16.000000,262.278010,69050.089630,0.082097,-0.749047,0.000641,-0.243706,0.355245,0.433825,0.000460,1.541567,0.003095,20.682962,0.074170,0.000000,0.000002,0.066505,0.000486,0.081168,0.001070,21.653811,0.043151,-3.472266,0.007148,0.593186,0.003241
