beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,2.023390,6.476570,0.017163,-0.124463,0.005721,0.059796,0.003123,0.047593,0.001763,0.202090,0.002604,0.686430,0.016753,-0.000085,0.001395,0.473320,0.006433,2.259926,0.055822,0.099911,0.001265,-0.132084,0.015397,-0.591316,0.018668
1.000000,4.679420,27.644420,0.024350,-0.229903,0.004058,0.177906,0.008831,0.068873,0.000936,0.164033,0.001656,0.475213,0.008445,0.000531,0.000754,0.515443,0.005680,2.857250,0.053847,0.159289,0.001683,0.034376,0.009059,-0.847617,0.015951
2.000000,10.958070,133.269030,0.043002,-0.363173,0.003584,0.371635,0.039715,0.071702,0.001046,0.106772,0.001992,0.215172,0.005988,0.000107,0.000315,0.609037,0.005163,4.085614,0.057344,0.203259,0.003722,0.328346,0.007974,-1.236005,0.013613
4.000000,23.847310,593.817990,0.043370,-0.443638,0.001807,0.212434,0.055454,0.053502,0.000733,0.056962,0.000783,0.065762,0.001988,-0.000037,0.000232,0.677434,0.003549,4.997930,0.038026,0.216395,0.002857,0.615229,0.007961,-1.459216,0.006142
8.000000,48.531910,2404.281050,0.052508,-0.461081,0.001094,0.066682,0.084667,0.031145,0.001360,0.031172,0.001337,0.031212,0.001301,0.000034,0.000146,0.714086,0.004372,5.496006,0.046993,0.241598,0.010006,0.666221,0.000892,-1.565483,0.006428
16.000000,97.514170,9606.775830,0.103678,-0.465773,0.001080,0.039593,0.205607,0.008235,0.000574,0.008235,0.000574,0.008235,0.000574,-0.000036,0.000082,0.763361,0.002622,6.088315,0.027719,0.130670,0.009016,0.666667,0.000000,-1.658545,0.003095
