beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,3.421950,15.652190,0.015027,-0.410975,0.007513,0.130068,0.017836,0.182563,0.001893,0.303797,0.003749,0.830058,0.015235,-0.000125,0.001549,0.371244,0.005485,0.958559,0.020865,0.135232,0.001638,0.089308,0.005876,0.139414,0.006457
1.000000,7.554780,65.403280,0.021160,-0.588695,0.005290,0.193338,0.029083,0.267877,0.001204,0.412178,0.002596,1.248698,0.012605,0.000007,0.000526,0.282565,0.004075,0.666373,0.016561,0.340418,0.002175,-0.009816,0.004238,0.214009,0.008871
2.000000,15.961890,271.588850,0.026297,-0.695236,0.003287,0.211084,0.061290,0.335015,0.001864,0.538295,0.005171,1.757465,0.025280,-0.000098,0.000185,0.188998,0.002324,0.333420,0.007134,0.852113,0.007912,-0.088242,0.005321,0.411987,0.007925
4.000000,32.692160,1101.746580,0.021895,-0.743260,0.001368,0.069154,0.124137,0.369093,0.001416,0.612062,0.004100,2.069882,0.020257,-0.000018,0.000055,0.136765,0.001524,0.156724,0.002539,1.903325,0.012244,-0.127249,0.003500,0.618035,0.003150
8.000000,65.584740,4368.029640,0.036403,-0.749523,0.001138,0.271363,0.292108,0.374990,0.001527,0.625025,0.004595,2.125235,0.022998,0.000004,0.000026,0.126971,0.001548,0.127210,0.001514,3.875241,0.027608,-0.133384,0.003959,0.666039,0.000512
16.000000,131.219760,17350.612340,0.066857,-0.750309,0.001045,0.190674,0.509400,0.375402,0.001223,0.626213,0.003671,2.131073,0.018363,-0.000006,0.000016,0.125555,0.001232,0.125573,0.001223,7.764543,0.044058,-0.134353,0.003129,0.666619,0.000143
