beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,2.701560,10.440580,0.022500,-0.125390,0.005625,0.055011,0.006141,0.047743,0.001470,0.205362,0.002372,0.959397,0.025416,-0.000417,0.000914,0.456920,0.005273,3.045160,0.081136,0.101540,0.001177,-0.557005,0.025503,-1.221193,0.037840
1.000000,6.207580,46.169180,0.033904,-0.225948,0.004238,0.178300,0.012121,0.067235,0.001547,0.173812,0.001736,0.703717,0.020379,0.000016,0.000511,0.486941,0.004719,3.898328,0.063466,0.169290,0.001612,-0.349357,0.027923,-1.668432,0.020009
2.000000,14.531780,228.492940,0.054054,-0.358236,0.003378,0.348201,0.037382,0.072944,0.001226,0.118404,0.002015,0.331074,0.011679,-0.000008,0.000249,0.591834,0.003288,5.894084,0.045743,0.226163,0.003776,0.068208,0.018781,-2.319647,0.012998
4.000000,31.595440,1031.490640,0.073352,-0.437357,0.002292,0.202249,0.041900,0.062590,0.000750,0.069818,0.000938,0.100957,0.004008,0.000021,0.000194,0.673893,0.004938,7.515243,0.084504,0.263598,0.003415,0.518108,0.014438,-2.717224,0.015445
8.000000,64.314600,4200.788580,0.075084,-0.454916,0.001173,0.012571,0.142081,0.056694,0.001170,0.056859,0.001192,0.057594,0.001307,-0.000040,0.000095,0.673291,0.005459,7.603173,0.095632,0.429146,0.008485,0.662366,0.001604,-2.764046,0.016957
16.000000,128.704880,16693.663040,0.178908,-0.455507,0.001398,-0.002498,0.211413,0.050301,0.001492,0.050304,0.001492,0.050319,0.001497,0.000021,0.000044,0.685000,0.005703,7.859982,0.103888,0.764341,0.021442,0.666568,0.000296,-2.824652,0.018926
