beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.597710,4.477350,0.015289,-0.107570,0.005096,0.054455,0.002610,0.023960,0.001746,0.192013,0.002413,0.624913,0.023325,-0.000278,0.001114,0.486105,0.005334,2.351798,0.037638,0.095718,0.001223,-0.084525,0.028016,-0.612603,0.009802
1.000000,3.815390,19.547810,0.034270,-0.210898,0.005712,0.195674,0.014149,0.034395,0.001422,0.143512,0.002422,0.372692,0.015912,-0.000209,0.001141,0.555494,0.003884,3.149879,0.040151,0.142327,0.002353,0.134671,0.024452,-0.890064,0.011546
2.000000,9.317770,98.459390,0.043574,-0.351481,0.003631,0.386481,0.030954,0.034752,0.000832,0.079198,0.001727,0.130418,0.005017,0.000051,0.000496,0.660836,0.004772,4.610432,0.051280,0.155980,0.003386,0.451251,0.011456,-1.325493,0.010325
4.000000,20.833310,456.361650,0.055144,-0.443055,0.002298,0.249749,0.087961,0.021627,0.000808,0.028677,0.000914,0.030197,0.001272,0.000021,0.000189,0.759615,0.004056,5.908500,0.043156,0.112833,0.003557,0.649084,0.005792,-1.592734,0.005293
8.000000,42.652100,1862.215200,0.085627,-0.463585,0.001784,0.059022,0.104584,0.004972,0.000372,0.005195,0.000396,0.005195,0.000396,-0.000011,0.000109,0.784357,0.002305,6.288437,0.022407,0.041361,0.003136,0.666667,0.000000,-1.672435,0.001794
16.000000,85.572160,7408.503020,0.096942,-0.466377,0.001010,0.054483,0.125629,0.000155,0.000061,0.000155,0.000061,0.000155,0.000061,0.000020,0.000050,0.786374,0.001298,6.345466,0.012977,0.002480,0.000969,0.666667,0.000000,-1.689757,0.001064
