beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,1.607285,4.616741,0.005532,-0.101821,0.001383,0.053258,0.001305,-0.000081,0.000473,0.189054,0.000557,0.822460,0.005671,0.000144,0.000311,0.484129,0.001836,3.295302,0.023470,0.094527,0.000278,-0.450119,0.006219,-1.268865,0.009576
1.000000,4.039449,21.880043,0.008796,-0.204931,0.001100,0.190421,0.003855,-0.000116,0.000436,0.136425,0.000489,0.450015,0.002575,-0.000239,0.000269,0.551021,0.001428,4.506181,0.023232,0.136425,0.000489,-0.099542,0.004681,-1.725941,0.007462
2.000000,10.294240,119.163718,0.021487,-0.343390,0.001343,0.362205,0.008511,-0.000016,0.000208,0.071355,0.000391,0.132091,0.001489,-0.000000,0.000106,0.676028,0.001281,7.205134,0.020983,0.142710,0.000783,0.382953,0.004173,-2.552672,0.004062
4.000000,23.334900,569.982822,0.017529,-0.429216,0.000548,0.266257,0.008354,0.000062,0.000195,0.025753,0.000213,0.027537,0.000366,-0.000002,0.000047,0.828484,0.001148,10.247218,0.020015,0.103012,0.000853,0.643593,0.002405,-3.122875,0.002470
8.000000,48.227042,2374.821738,0.030561,-0.453548,0.000478,0.093273,0.033930,-0.000008,0.000056,0.003750,0.000086,0.003750,0.000086,0.000007,0.000038,0.872252,0.001196,11.168172,0.020653,0.030004,0.000689,0.666667,0.000000,-3.267941,0.002152
16.000000,96.811762,9469.244866,0.021778,-0.456342,0.000170,-0.010579,0.039191,0.000001,0.000004,0.000063,0.000007,0.000063,0.000007,0.000002,0.000010,0.869345,0.000563,11.170156,0.009799,0.001004,0.000114,0.666667,0.000000,-3.282976,0.001038
